observation_date,DDOI02VNA156NWDB
1992-01-01,3.5929870000000004
1993-01-01,3.4192910000000003
1994-01-01,3.4192910000000003
1995-01-01,3.0014150000000002
1996-01-01,3.7540990000000001
1997-01-01,4.6813849999999997
1998-01-01,5.0526019999999994
1999-01-01,6.7775080000000001
2000-01-01,8.7810150000000000
2001-01-01,9.5759360000000004
2002-01-01,9.5315460000000005
2003-01-01,10.8307699999999993
2004-01-01,12.4270300000000002
2005-01-01,12.1250400000000003
2006-01-01,12.5853800000000007
2007-01-01,17.1722399999999986
2008-01-01,12.1277799999999996
2009-01-01,15.0269600000000008
2010-01-01,13.3103200000000008
2011-01-01,11.3355399999999999
2012-01-01,11.8347700000000007
2013-01-01,13.4799399999999991
2014-01-01,14.5829400000000007
2015-01-01,16.4263499999999993
2016-01-01,18.2096899999999984
2017-01-01,19.4135500000000008
2018-01-01,19.1335699999999989
2019-01-01,20.3642399999999988
2020-01-01,24.8012699999999988
2021-01-01,23.3372099999999989
