observation_date,DDDI06VNA156NWDB
1992-01-01,4.64253800000000005
1993-01-01,6.50835600000000003
1994-01-01,6.50835600000000003
1995-01-01,2.12039700000000009
1996-01-01,2.88065900000000008
1997-01-01,2.75592699999999979
1998-01-01,3.30154400000000026
1999-01-01,2.82273400000000008
2000-01-01,2.65635800000000000
2001-01-01,2.58082900000000004
2002-01-01,2.82401500000000016
2003-01-01,2.48148599999999986
2004-01-01,2.93650199999999995
2005-01-01,1.85473500000000002
2006-01-01,2.02899099999999999
2007-01-01,1.03322399999999992
2008-01-01,0.78443830000000003
2009-01-01,4.20267400000000002
2010-01-01,3.80665299999999984
2011-01-01,1.98489899999999997
2012-01-01,1.32649499999999998
2013-01-01,0.77052519999999991
2014-01-01,0.28224870000000002
2015-01-01,1.92005000000000003
2016-01-01,0.69336890000000007
2017-01-01,0.21552299999999999
2018-01-01,1.22918799999999995
2019-01-01,0.17380630000000000
2020-01-01,0.10512619999999991
2021-01-01,0.18794310000000000
